,,"All values, costs, and indexes are in current dollars (nominals)",,,,,
MEMPHIS,2017Q2,"$158,588","$128,075","$30,513",19.2%,1.252,0.553
MEMPHIS,2017Q3,"$161,390","$128,509","$32,880",20.4%,1.274,0.596
MEMPHIS,2017Q4,"$163,905","$129,031","$34,874",21.3%,1.294,0.632
MEMPHIS,2018Q1,"$165,527","$131,079","$34,448",20.8%,1.306,0.624
MEMPHIS,2018Q2,"$169,113","$133,234","$35,879",21.2%,1.335,0.650
MIAMI,1984Q4,"$127,301","$42,551","$84,749",66.6%,0.642,0.577
MIAMI,1985Q1,"$128,299","$43,298","$85,001",66.3%,0.647,0.581
MIAMI,1985Q2,"$126,607","$43,981","$82,626",65.3%,0.639,0.568
MIAMI,1985Q3,"$126,392","$44,548","$81,844",64.8%,0.638,0.565
MIAMI,1985Q4,"$126,533","$44,908","$81,626",64.5%,0.638,0.566
MIAMI,1986Q1,"$128,010","$45,029","$82,981",64.8%,0.646,0.578
MIAMI,1986Q2,"$131,015","$45,013","$86,002",65.6%,0.661,0.601
MIAMI,1986Q3,"$132,731","$45,041","$87,690",66.1%,0.670,0.616
MIAMI,1986Q4,"$132,563","$45,286","$87,277",65.8%,0.669,0.616
MIAMI,1987Q1,"$133,026","$45,824","$87,202",65.6%,0.671,0.617
MIAMI,1987Q2,"$134,196","$46,692","$87,504",65.2%,0.677,0.622
MIAMI,1987Q3,"$135,051","$47,687","$87,365",64.7%,0.681,0.624
MIAMI,1987Q4,"$137,553","$48,660","$88,893",64.6%,0.694,0.638
MIAMI,1988Q1,"$138,813","$49,541","$89,272",64.3%,0.700,0.645
MIAMI,1988Q2,"$141,173","$50,231","$90,943",64.4%,0.712,0.660
MIAMI,1988Q3,"$144,074","$50,851","$93,223",64.7%,0.727,0.680
MIAMI,1988Q4,"$146,479","$51,466","$95,013",64.9%,0.739,0.696
MIAMI,1989Q1,"$148,389","$52,224","$96,165",64.8%,0.749,0.709
MIAMI,1989Q2,"$149,791","$52,888","$96,903",64.7%,0.756,0.718
MIAMI,1989Q3,"$150,832","$53,535","$97,298",64.5%,0.761,0.723
MIAMI,1989Q4,"$151,392","$54,145","$97,247",64.2%,0.764,0.725
MIAMI,1990Q1,"$153,289","$54,554","$98,735",64.4%,0.774,0.738
MIAMI,1990Q2,"$153,681","$55,101","$98,581",64.1%,0.775,0.739
MIAMI,1990Q3,"$154,061","$55,618","$98,442",63.9%,0.777,0.740
MIAMI,1990Q4,"$153,270","$56,085","$97,185",63.4%,0.773,0.734
MIAMI,1991Q1,"$152,067","$56,526","$95,541",62.8%,0.767,0.724
MIAMI,1991Q2,"$151,443","$56,886","$94,558",62.4%,0.764,0.720
MIAMI,1991Q3,"$152,466","$57,243","$95,223",62.5%,0.769,0.727
MIAMI,1991Q4,"$152,504","$57,634","$94,871",62.2%,0.770,0.727
MIAMI,1992Q1,"$152,164","$58,305","$93,859",61.7%,0.768,0.724
MIAMI,1992Q2,"$153,450","$58,801","$94,649",61.7%,0.774,0.732
MIAMI,1992Q3,"$150,054","$59,361","$90,693",60.4%,0.757,0.703
MIAMI,1992Q4,"$153,488","$60,041","$93,447",60.9%,0.775,0.726
MIAMI,1993Q1,"$154,279","$60,486","$93,793",60.8%,0.778,0.726
MIAMI,1993Q2,"$156,035","$61,469","$94,566",60.6%,0.787,0.733
MIAMI,1993Q3,"$158,311","$62,510","$95,802",60.5%,0.799,0.744
MIAMI,1993Q4,"$159,353","$63,484","$95,869",60.2%,0.804,0.746
MIAMI,1994Q1,"$162,620","$64,378","$98,242",60.4%,0.821,0.767
MIAMI,1994Q2,"$164,253","$65,072","$99,181",60.4%,0.829,0.778
MIAMI,1994Q3,"$165,790","$65,720","$100,070",60.4%,0.837,0.788
MIAMI,1994Q4,"$166,954","$66,408","$100,546",60.2%,0.842,0.795
MIAMI,1995Q1,"$167,443","$67,378","$100,065",59.8%,0.845,0.796
MIAMI,1995Q2,"$167,514","$68,210","$99,304",59.3%,0.845,0.794
MIAMI,1995Q3,"$168,131","$69,066","$99,065",58.9%,0.848,0.796
MIAMI,1995Q4,"$168,716","$69,931","$98,785",58.6%,0.851,0.796
MIAMI,1996Q1,"$168,555","$70,695","$97,861",58.1%,0.851,0.791
MIAMI,1996Q2,"$168,729","$71,535","$97,194",57.6%,0.851,0.789
MIAMI,1996Q3,"$169,546","$72,324","$97,222",57.3%,0.856,0.792
MIAMI,1996Q4,"$169,803","$73,019","$96,785",57.0%,0.857,0.792
MIAMI,1997Q1,"$170,073","$73,603","$96,470",56.7%,0.858,0.792
MIAMI,1997Q2,"$171,038","$74,112","$96,926",56.7%,0.863,0.799
MIAMI,1997Q3,"$171,616","$74,623","$96,993",56.5%,0.866,0.803
MIAMI,1997Q4,"$173,520","$75,214","$98,306",56.7%,0.876,0.817
MIAMI,1998Q1,"$175,514","$75,971","$99,543",56.7%,0.886,0.831
MIAMI,1998Q2,"$176,658","$76,759","$99,900",56.5%,0.891,0.838
MIAMI,1998Q3,"$179,185","$77,549","$101,637",56.7%,0.904,0.856
MIAMI,1998Q4,"$180,111","$78,264","$101,847",56.5%,0.909,0.861
MIAMI,1999Q1,"$182,311","$78,924","$103,387",56.7%,0.920,0.878
MIAMI,1999Q2,"$185,275","$79,436","$105,839",57.1%,0.935,0.902
MIAMI,1999Q3,"$187,751","$79,939","$107,813",57.4%,0.947,0.921
MIAMI,1999Q4,"$190,233","$80,512","$109,722",57.7%,0.960,0.940
MIAMI,2000Q1,"$193,886","$80,927","$112,959",58.3%,0.978,0.968
MIAMI,2000Q2,"$198,175","$81,841","$116,334",58.7%,1.000,1.000
MIAMI,2000Q3,"$201,391","$82,910","$118,481",58.8%,1.016,1.022
MIAMI,2000Q4,"$207,172","$84,088","$123,084",59.4%,1.045,1.067
MIAMI,2001Q1,"$214,516","$85,767","$128,748",60.0%,1.082,1.125
MIAMI,2001Q2,"$221,352","$86,942","$134,410",60.7%,1.117,1.180
MIAMI,2001Q3,"$228,252","$88,049","$140,203",61.4%,1.152,1.236
MIAMI,2001Q4,"$236,367","$89,109","$147,258",62.3%,1.193,1.302
MIAMI,2002Q1,"$242,168","$89,902","$152,265",62.9%,1.222,1.348
MIAMI,2002Q2,"$250,444","$90,963","$159,482",63.7%,1.264,1.416
MIAMI,2002Q3,"$260,425","$92,065","$168,359",64.6%,1.314,1.499
MIAMI,2002Q4,"$269,974","$93,191","$176,783",65.5%,1.362,1.578
MIAMI,2003Q1,"$281,048","$94,391","$186,657",66.4%,1.418,1.670
MIAMI,2003Q2,"$288,855","$95,712","$193,142",66.9%,1.458,1.733
MIAMI,2003Q3,"$298,964","$97,352","$201,612",67.4%,1.509,1.813
MIAMI,2003Q4,"$310,237","$99,470","$210,767",67.9%,1.565,1.899
MIAMI,2004Q1,"$322,944","$102,119","$220,825",68.4%,1.630,1.994
MIAMI,2004Q2,"$340,506","$105,211","$235,295",69.1%,1.718,2.129
MIAMI,2004Q3,"$360,384","$108,433","$251,951",69.9%,1.819,2.285
MIAMI,2004Q4,"$380,364","$111,507","$268,857",70.7%,1.919,2.443
MIAMI,2005Q1,"$406,003","$114,549","$291,454",71.8%,2.049,2.657
MIAMI,2005Q2,"$439,771","$117,048","$322,723",73.4%,2.219,2.947
MIAMI,2005Q3,"$472,568","$119,539","$353,028",74.7%,2.385,3.228
MIAMI,2005Q4,"$501,422","$122,278","$379,144",75.6%,2.530,3.470
MIAMI,2006Q1,"$524,155","$125,050","$399,105",76.1%,2.645,3.651
MIAMI,2006Q2,"$538,289","$128,341","$409,948",76.2%,2.716,3.752
MIAMI,2006Q3,"$534,277","$131,337","$402,939",75.4%,2.696,3.690
MIAMI,2006Q4,"$537,588","$133,581","$404,007",75.2%,2.713,3.701
MIAMI,2007Q1,"$538,463","$134,646","$403,817",75.0%,2.717,3.700
MIAMI,2007Q2,"$522,939","$135,349","$387,590",74.1%,2.639,3.553
MIAMI,2007Q3,"$490,303","$136,192","$354,111",72.2%,2.474,3.248
MIAMI,2007Q4,"$456,600","$137,836","$318,764",69.8%,2.304,2.926
MIAMI,2008Q1,"$421,186","$140,789","$280,397",66.6%,2.125,2.577
MIAMI,2008Q2,"$378,248","$144,253","$233,996",61.9%,1.909,2.152
MIAMI,2008Q3,"$350,898","$147,530","$203,369",58.0%,1.771,1.872
MIAMI,2008Q4,"$324,873","$149,806","$175,067",53.9%,1.639,1.613
MIAMI,2009Q1,"$298,379","$150,483","$147,896",49.6%,1.506,1.363
MIAMI,2009Q2,"$282,649","$150,066","$132,584",46.9%,1.426,1.223
MIAMI,2009Q3,"$284,238","$149,208","$135,029",47.5%,1.434,1.247
MIAMI,2009Q4,"$285,967","$148,576","$137,391",48.0%,1.443,1.270
MIAMI,2010Q1,"$285,948","$148,350","$137,598",48.1%,1.443,1.270
MIAMI,2010Q2,"$284,077","$149,313","$134,764",47.4%,1.433,1.247
MIAMI,2010Q3,"$280,662","$150,924","$129,738",46.2%,1.416,1.204
MIAMI,2010Q4,"$276,219","$152,989","$123,230",44.6%,1.394,1.149
MIAMI,2011Q1,"$270,090","$155,764","$114,326",42.3%,1.363,1.076
MIAMI,2011Q2,"$268,515","$158,009","$110,505",41.2%,1.355,1.045
MIAMI,2011Q3,"$268,289","$160,017","$108,272",40.4%,1.354,1.028
MIAMI,2011Q4,"$265,415","$161,606","$103,809",39.1%,1.339,0.989
MIAMI,2012Q1,"$271,505","$162,566","$108,939",40.1%,1.370,1.040
MIAMI,2012Q2,"$277,672","$163,371","$114,300",41.2%,1.401,1.095
MIAMI,2012Q3,"$285,929","$164,081","$121,848",42.6%,1.443,1.171
MIAMI,2012Q4,"$291,543","$164,880","$126,663",43.4%,1.471,1.220
MIAMI,2013Q1,"$300,218","$165,974","$134,244",44.7%,1.515,1.298
MIAMI,2013Q2,"$315,761","$167,131","$148,630",47.1%,1.593,1.441
MIAMI,2013Q3,"$326,050","$168,198","$157,853",48.4%,1.645,1.534
MIAMI,2013Q4,"$339,246","$169,001","$170,245",50.2%,1.712,1.659
MIAMI,2014Q1,"$348,596","$169,326","$179,270",51.4%,1.759,1.749
MIAMI,2014Q2,"$356,313","$169,525","$186,788",52.4%,1.798,1.827
MIAMI,2014Q3,"$361,175","$169,735","$191,440",53.0%,1.823,1.876
MIAMI,2014Q4,"$369,271","$170,192","$199,079",53.9%,1.863,1.955
MIAMI,2015Q1,"$378,473","$170,962","$207,511",54.8%,1.910,2.041
MIAMI,2015Q2,"$384,499","$171,942","$212,556",55.3%,1.940,2.095
MIAMI,2015Q3,"$388,582","$172,712","$215,870",55.6%,1.961,2.132
MIAMI,2015Q4,"$397,528","$172,934","$224,593",56.5%,2.006,2.224
MIAMI,2016Q1,"$402,106","$172,622","$229,484",57.1%,2.029,2.280
MIAMI,2016Q2,"$409,701","$171,512","$238,189",58.1%,2.067,2.371
MIAMI,2016Q3,"$415,810","$170,311","$245,499",59.0%,2.098,2.448
MIAMI,2016Q4,"$423,090","$169,491","$253,598",59.9%,2.135,2.533
MIAMI,2017Q1,"$427,643","$169,093","$258,550",60.5%,2.158,2.582
MIAMI,2017Q2,"$430,864","$169,742","$261,122",60.6%,2.174,2.611
MIAMI,2017Q3,"$436,691","$170,905","$265,786",60.9%,2.204,2.661
MIAMI,2017Q4,"$440,131","$172,346","$267,785",60.8%,2.221,2.685
MIAMI,2018Q1,"$446,858","$175,542","$271,316",60.7%,2.255,2.726
MIAMI,2018Q2,"$452,632","$178,926","$273,706",60.5%,2.284,2.755
MILWAUKEE,1984Q4,"$77,598","$65,022","$12,576",16.2%,0.471,0.196
MILWAUKEE,1985Q1,"$78,400","$65,308","$13,091",16.7%,0.476,0.205
MILWAUKEE,1985Q2,"$78,854","$65,630","$13,224",16.8%,0.479,0.207
MILWAUKEE,1985Q3,"$78,929","$65,986","$12,943",16.4%,0.480,0.203
MILWAUKEE,1985Q4,"$79,758","$66,373","$13,385",16.8%,0.485,0.210
MILWAUKEE,1986Q1,"$81,129","$66,785","$14,344",17.7%,0.493,0.226
MILWAUKEE,1986Q2,"$81,326","$67,235","$14,091",17.3%,0.494,0.222
MILWAUKEE,1986Q3,"$81,825","$67,736","$14,089",17.2%,0.497,0.222
MILWAUKEE,1986Q4,"$82,720","$68,302","$14,419",17.4%,0.503,0.228
MILWAUKEE,1987Q1,"$84,231","$68,926","$15,305",18.2%,0.512,0.242
MILWAUKEE,1987Q2,"$84,955","$69,605","$15,351",18.1%,0.516,0.243
MILWAUKEE,1987Q3,"$86,108","$70,286","$15,822",18.4%,0.523,0.251
MILWAUKEE,1987Q4,"$87,637","$70,933","$16,704",19.1%,0.532,0.266
MILWAUKEE,1988Q1,"$88,817","$71,526","$17,291",19.5%,0.540,0.276
MILWAUKEE,1988Q2,"$89,546","$72,055","$17,491",19.5%,0.544,0.280
MILWAUKEE,1988Q3,"$91,346","$72,563","$18,783",20.6%,0.555,0.301
MILWAUKEE,1988Q4,"$92,947","$73,078","$19,870",21.4%,0.565,0.320
MILWAUKEE,1989Q1,"$94,598","$73,646","$20,952",22.1%,0.575,0.338
MILWAUKEE,1989Q2,"$95,718","$74,213","$21,505",22.5%,0.581,0.348
MILWAUKEE,1989Q3,"$97,013","$74,798","$22,216",22.9%,0.589,0.360
MILWAUKEE,1989Q4,"$99,163","$75,397","$23,766",24.0%,0.602,0.386
MILWAUKEE,1990Q1,"$101,297","$75,966","$25,331",25.0%,0.615,0.411
MILWAUKEE,1990Q2,"$102,337","$76,582","$25,755",25.2%,0.622,0.418
MILWAUKEE,1990Q3,"$103,216","$77,191","$26,025",25.2%,0.627,0.423
MILWAUKEE,1990Q4,"$104,590","$77,779","$26,812",25.6%,0.635,0.437
MILWAUKEE,1991Q1,"$105,544","$78,339","$27,204",25.8%,0.641,0.444
MILWAUKEE,1991Q2,"$106,277","$78,873","$27,404",25.8%,0.646,0.448
MILWAUKEE,1991Q3,"$107,455","$79,404","$28,051",26.1%,0.653,0.459
MILWAUKEE,1991Q4,"$109,095","$79,948","$29,147",26.7%,0.663,0.478
MILWAUKEE,1992Q1,"$110,884","$80,607","$30,277",27.3%,0.674,0.499
MILWAUKEE,1992Q2,"$112,812","$81,201","$31,611",28.0%,0.685,0.522
MILWAUKEE,1992Q3,"$114,846","$81,829","$33,017",28.7%,0.698,0.545
MILWAUKEE,1992Q4,"$116,848","$82,506","$34,342",29.4%,0.710,0.567
MILWAUKEE,1993Q1,"$118,827","$83,116","$35,711",30.1%,0.722,0.586
MILWAUKEE,1993Q2,"$121,579","$83,916","$37,663",31.0%,0.739,0.618
MILWAUKEE,1993Q3,"$123,750","$84,741","$39,009",31.5%,0.752,0.639
MILWAUKEE,1993Q4,"$125,987","$85,549","$40,438",32.1%,0.765,0.662
MILWAUKEE,1994Q1,"$128,176","$86,302","$41,873",32.7%,0.779,0.686
MILWAUKEE,1994Q2,"$129,424","$87,027","$42,397",32.8%,0.786,0.695
MILWAUKEE,1994Q3,"$130,494","$87,742","$42,752",32.8%,0.793,0.701
MILWAUKEE,1994Q4,"$131,101","$88,471","$42,630",32.5%,0.796,0.700
MILWAUKEE,1995Q1,"$132,301","$89,320","$42,981",32.5%,0.804,0.709
MILWAUKEE,1995Q2,"$133,325","$90,076","$43,249",32.4%,0.810,0.714
MILWAUKEE,1995Q3,"$134,333","$90,816","$43,517",32.4%,0.816,0.720
MILWAUKEE,1995Q4,"$135,576","$91,529","$44,047",32.5%,0.824,0.729
MILWAUKEE,1996Q1,"$136,486","$92,163","$44,323",32.5%,0.829,0.733
MILWAUKEE,1996Q2,"$137,556","$92,830","$44,726",32.5%,0.836,0.740
MILWAUKEE,1996Q3,"$138,647","$93,495","$45,153",32.6%,0.842,0.748
MILWAUKEE,1996Q4,"$139,366","$94,164","$45,202",32.4%,0.847,0.749
MILWAUKEE,1997Q1,"$140,255","$94,831","$45,424",32.4%,0.852,0.753
MILWAUKEE,1997Q2,"$141,195","$95,554","$45,641",32.3%,0.858,0.758
MILWAUKEE,1997Q3,"$142,070","$96,331","$45,738",32.2%,0.863,0.760
MILWAUKEE,1997Q4,"$143,590","$97,182","$46,408",32.3%,0.872,0.772
MILWAUKEE,1998Q1,"$145,121","$98,152","$46,969",32.4%,0.882,0.784
MILWAUKEE,1998Q2,"$146,968","$99,115","$47,854",32.6%,0.893,0.800
MILWAUKEE,1998Q3,"$148,930","$100,064","$48,866",32.8%,0.905,0.818
MILWAUKEE,1998Q4,"$150,588","$100,954","$49,633",33.0%,0.915,0.832
MILWAUKEE,1999Q1,"$152,244","$101,779","$50,465",33.1%,0.925,0.847
MILWAUKEE,1999Q2,"$154,380","$102,498","$51,882",33.6%,0.938,0.872
MILWAUKEE,1999Q3,"$156,647","$103,167","$53,479",34.1%,0.952,0.899
MILWAUKEE,1999Q4,"$159,046","$103,817","$55,229",34.7%,0.966,0.929
MILWAUKEE,2000Q1,"$162,287","$104,317","$57,970",35.7%,0.986,0.973
MILWAUKEE,2000Q2,"$164,607","$105,064","$59,543",36.2%,1.000,1.000
MILWAUKEE,2000Q3,"$166,905","$105,915","$60,990",36.5%,1.014,1.026
MILWAUKEE,2000Q4,"$168,735","$106,887","$61,848",36.7%,1.025,1.043
MILWAUKEE,2001Q1,"$170,931","$108,208","$62,723",36.7%,1.038,1.065
MILWAUKEE,2001Q2,"$173,679","$109,325","$64,354",37.1%,1.055,1.095
MILWAUKEE,2001Q3,"$175,844","$110,412","$65,432",37.2%,1.068,1.116
MILWAUKEE,2001Q4,"$178,498","$111,429","$67,069",37.6%,1.084,1.145
MILWAUKEE,2002Q1,"$181,459","$112,206","$69,253",38.2%,1.102,1.182
MILWAUKEE,2002Q2,"$184,301","$113,004","$71,297",38.7%,1.120,1.218
MILWAUKEE,2002Q3,"$187,893","$113,654","$74,239",39.5%,1.141,1.269
MILWAUKEE,2002Q4,"$191,744","$114,113","$77,630",40.5%,1.165,1.329
MILWAUKEE,2003Q1,"$195,959","$114,481","$81,477",41.6%,1.190,1.398
MILWAUKEE,2003Q2,"$199,152","$114,851","$84,301",42.3%,1.210,1.448
MILWAUKEE,2003Q3,"$203,289","$115,645","$87,644",43.1%,1.235,1.506
MILWAUKEE,2003Q4,"$207,483","$117,208","$90,275",43.5%,1.260,1.552
MILWAUKEE,2004Q1,"$211,273","$119,712","$91,561",43.3%,1.284,1.574
MILWAUKEE,2004Q2,"$215,335","$122,937","$92,397",42.9%,1.308,1.589
MILWAUKEE,2004Q3,"$219,725","$126,395","$93,329",42.5%,1.335,1.605
MILWAUKEE,2004Q4,"$223,228","$129,637","$93,591",41.9%,1.356,1.610
MILWAUKEE,2005Q1,"$226,886","$132,300","$94,586",41.7%,1.378,1.626
MILWAUKEE,2005Q2,"$229,969","$134,562","$95,408",41.5%,1.397,1.641
MILWAUKEE,2005Q3,"$232,892","$136,626","$96,266",41.3%,1.415,1.655
MILWAUKEE,2005Q4,"$236,850","$138,722","$98,127",41.4%,1.439,1.688
MILWAUKEE,2006Q1,"$238,928","$140,946","$97,982",41.0%,1.452,1.684
MILWAUKEE,2006Q2,"$239,456","$143,339","$96,117",40.1%,1.455,1.653
MILWAUKEE,2006Q3,"$239,124","$145,656","$93,469",39.1%,1.453,1.609
MILWAUKEE,2006Q4,"$238,113","$147,714","$90,400",38.0%,1.447,1.558
MILWAUKEE,2007Q1,"$239,650","$149,515","$90,134",37.6%,1.456,1.557
MILWAUKEE,2007Q2,"$239,974","$151,036","$88,938",37.1%,1.458,1.538
MILWAUKEE,2007Q3,"$238,243","$152,669","$85,574",35.9%,1.447,1.482
MILWAUKEE,2007Q4,"$236,477","$154,715","$81,761",34.6%,1.437,1.417
MILWAUKEE,2008Q1,"$233,435","$157,326","$76,109",32.6%,1.418,1.320
MILWAUKEE,2008Q2,"$230,493","$160,173","$70,320",30.5%,1.400,1.221
MILWAUKEE,2008Q3,"$227,863","$162,750","$65,113",28.6%,1.384,1.131
MILWAUKEE,2008Q4,"$222,062","$164,562","$57,500",25.9%,1.349,0.999
MILWAUKEE,2009Q1,"$217,983","$165,303","$52,680",24.2%,1.324,0.917
MILWAUKEE,2009Q2,"$215,650","$165,210","$50,440",23.4%,1.310,0.878
MILWAUKEE,2009Q3,"$214,397","$164,772","$49,625",23.1%,1.302,0.864
MILWAUKEE,2009Q4,"$214,296","$164,447","$49,849",23.3%,1.302,0.867
MILWAUKEE,2010Q1,"$213,144","$164,497","$48,647",22.8%,1.295,0.844
MILWAUKEE,2010Q2,"$210,090","$165,281","$44,809",21.3%,1.276,0.778
MILWAUKEE,2010Q3,"$204,921","$166,657","$38,264",18.7%,1.245,0.665
MILWAUKEE,2010Q4,"$203,232","$168,612","$34,620",17.0%,1.235,0.602
MILWAUKEE,2011Q1,"$199,616","$171,121","$28,495",14.3%,1.213,0.498
MILWAUKEE,2011Q2,"$195,900","$173,716","$22,184",11.3%,1.190,0.388
MILWAUKEE,2011Q3,"$193,356","$176,084","$17,271",8.9%,1.175,0.303
MILWAUKEE,2011Q4,"$191,756","$177,851","$13,905",7.3%,1.165,0.244
MILWAUKEE,2012Q1,"$190,538","$178,772","$11,766",6.2%,1.158,0.206
MILWAUKEE,2012Q2,"$191,001","$179,150","$11,852",6.2%,1.160,0.208
MILWAUKEE,2012Q3,"$190,880","$179,410","$11,470",6.0%,1.160,0.201
MILWAUKEE,2012Q4,"$190,894","$179,980","$10,914",5.7%,1.160,0.192
MILWAUKEE,2013Q1,"$193,112","$181,151","$11,960",6.2%,1.173,0.210
MILWAUKEE,2013Q2,"$197,108","$182,646","$14,461",7.3%,1.197,0.254
MILWAUKEE,2013Q3,"$201,816","$184,047","$17,768",8.8%,1.226,0.312
MILWAUKEE,2013Q4,"$203,409","$184,934","$18,476",9.1%,1.236,0.325
MILWAUKEE,2014Q1,"$204,769","$185,028","$19,741",9.6%,1.244,0.347
MILWAUKEE,2014Q2,"$206,213","$184,647","$21,566",10.5%,1.253,0.379
MILWAUKEE,2014Q3,"$207,165","$184,234","$22,931",11.1%,1.259,0.403
MILWAUKEE,2014Q4,"$208,957","$184,240","$24,718",11.8%,1.269,0.435
MILWAUKEE,2015Q1,"$210,523","$184,968","$25,556",12.1%,1.279,0.449
MILWAUKEE,2015Q2,"$212,260","$186,200","$26,060",12.3%,1.289,0.458
MILWAUKEE,2015Q3,"$213,888","$187,552","$26,336",12.3%,1.299,0.463
MILWAUKEE,2015Q4,"$217,562","$188,651","$28,910",13.3%,1.322,0.509
MILWAUKEE,2016Q1,"$220,267","$189,252","$31,015",14.1%,1.338,0.547
MILWAUKEE,2016Q2,"$222,638","$189,408","$33,229",14.9%,1.353,0.586
MILWAUKEE,2016Q3,"$225,997","$189,375","$36,622",16.2%,1.373,0.645
MILWAUKEE,2016Q4,"$228,706","$189,375","$39,331",17.2%,1.389,0.693
MILWAUKEE,2017Q1,"$231,721","$189,534","$42,187",18.2%,1.408,0.742
MILWAUKEE,2017Q2,"$234,906","$189,953","$44,952",19.1%,1.427,0.790
MILWAUKEE,2017Q3,"$237,605","$190,515","$47,090",19.8%,1.443,0.827
MILWAUKEE,2017Q4,"$240,730","$191,151","$49,579",20.6%,1.462,0.870
MILWAUKEE,2018Q1,"$244,997","$194,170","$50,827",20.7%,1.488,0.892
MILWAUKEE,2018Q2,"$250,925","$197,345","$53,579",21.4%,1.524,0.940
MINNEAPOLISSTPAUL,1984Q4,"$97,309","$77,501","$19,808",20.4%,0.525,0.270
MINNEAPOLISSTPAUL,1985Q1,"$97,797","$77,835","$19,962",20.4%,0.528,0.273
MINNEAPOLISSTPAUL,1985Q2,"$94,727","$78,273","$16,454",17.4%,0.511,0.226
MINNEAPOLISSTPAUL,1985Q3,"$94,334","$78,790","$15,545",16.5%,0.509,0.214
MINNEAPOLISSTPAUL,1985Q4,"$99,377","$79,364","$20,013",20.1%,0.536,0.277
MINNEAPOLISSTPAUL,1986Q1,"$99,211","$79,940","$19,270",19.4%,0.536,0.267
MINNEAPOLISSTPAUL,1986Q2,"$99,254","$80,508","$18,747",18.9%,0.536,0.261
MINNEAPOLISSTPAUL,1986Q3,"$101,643","$81,090","$20,552",20.2%,0.549,0.287
MINNEAPOLISSTPAUL,1986Q4,"$102,634","$81,691","$20,942",20.4%,0.554,0.294
MINNEAPOLISSTPAUL,1987Q1,"$104,733","$82,294","$22,440",21.4%,0.565,0.315
MINNEAPOLISSTPAUL,1987Q2,"$106,056","$82,956","$23,100",21.8%,0.572,0.326
MINNEAPOLISSTPAUL,1987Q3,"$106,884","$83,641","$23,243",21.7%,0.577,0.329
MINNEAPOLISSTPAUL,1987Q4,"$107,518","$84,340","$23,178",21.6%,0.580,0.330
MINNEAPOLISSTPAUL,1988Q1,"$108,855","$85,092","$23,763",21.8%,0.588,0.340
MINNEAPOLISSTPAUL,1988Q2,"$110,040","$85,812","$24,228",22.0%,0.594,0.349
MINNEAPOLISSTPAUL,1988Q3,"$109,797","$86,544","$23,253",21.2%,0.593,0.336
MINNEAPOLISSTPAUL,1988Q4,"$110,975","$87,306","$23,669",21.3%,0.599,0.343
MINNEAPOLISSTPAUL,1989Q1,"$112,069","$88,112","$23,957",21.4%,0.605,0.349
MINNEAPOLISSTPAUL,1989Q2,"$112,465","$88,913","$23,552",20.9%,0.607,0.344
MINNEAPOLISSTPAUL,1989Q3,"$113,205","$89,686","$23,519",20.8%,0.611,0.345
MINNEAPOLISSTPAUL,1989Q4,"$114,188","$90,399","$23,789",20.8%,0.616,0.350
MINNEAPOLISSTPAUL,1990Q1,"$113,922","$90,998","$22,924",20.1%,0.615,0.337
MINNEAPOLISSTPAUL,1990Q2,"$114,626","$91,578","$23,048",20.1%,0.619,0.340
MINNEAPOLISSTPAUL,1990Q3,"$113,987","$92,143","$21,844",19.2%,0.615,0.323
MINNEAPOLISSTPAUL,1990Q4,"$114,448","$92,733","$21,715",19.0%,0.618,0.322
MINNEAPOLISSTPAUL,1991Q1,"$114,579","$93,363","$21,216",18.5%,0.618,0.315
MINNEAPOLISSTPAUL,1991Q2,"$114,685","$94,007","$20,678",18.0%,0.619,0.308
MINNEAPOLISSTPAUL,1991Q3,"$116,650","$94,614","$22,037",18.9%,0.630,0.329
MINNEAPOLISSTPAUL,1991Q4,"$116,715","$95,126","$21,590",18.5%,0.630,0.323
MINNEAPOLISSTPAUL,1992Q1,"$118,030","$95,571","$22,459",19.0%,0.637,0.338
MINNEAPOLISSTPAUL,1992Q2,"$119,042","$95,888","$23,154",19.5%,0.643,0.349
MINNEAPOLISSTPAUL,1992Q3,"$119,604","$96,214","$23,390",19.6%,0.646,0.354
MINNEAPOLISSTPAUL,1992Q4,"$120,563","$96,637","$23,926",19.8%,0.651,0.362
MINNEAPOLISSTPAUL,1993Q1,"$121,173","$97,141","$24,031",19.8%,0.654,0.363
MINNEAPOLISSTPAUL,1993Q2,"$122,818","$97,814","$25,004",20.4%,0.663,0.378
MINNEAPOLISSTPAUL,1993Q3,"$124,257","$98,475","$25,781",20.7%,0.671,0.390
MINNEAPOLISSTPAUL,1993Q4,"$126,222","$99,015","$27,206",21.6%,0.681,0.412
MINNEAPOLISSTPAUL,1994Q1,"$128,755","$99,383","$29,372",22.8%,0.695,0.446
MINNEAPOLISSTPAUL,1994Q2,"$129,744","$99,782","$29,962",23.1%,0.700,0.456
MINNEAPOLISSTPAUL,1994Q3,"$129,193","$100,459","$28,734",22.2%,0.697,0.438
MINNEAPOLISSTPAUL,1994Q4,"$129,696","$101,675","$28,021",21.6%,0.700,0.429
MINNEAPOLISSTPAUL,1995Q1,"$131,454","$103,632","$27,822",21.2%,0.710,0.428
MINNEAPOLISSTPAUL,1995Q2,"$133,852","$105,897","$27,954",20.9%,0.722,0.432
MINNEAPOLISSTPAUL,1995Q3,"$135,024","$108,100","$26,924",19.9%,0.729,0.417
